RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
394995,119,"Port St. Lucie, FL",Msa,FL,36,30,31,35,35,37,35,34,34,33,32,31,30,29,29,33,33,33,34,33,38,34,33,33,31,25,28,39,33,34,34,37,36,37,38,34,17,,38,40,39,39,38,37,36,36,38,38,38,36,36,33
753917,120,"Santa Maria-Santa Barbara, CA",Msa,CA,36,29,30,30,30,33,33,30,30,30,31,33,37,29,31,30,31,30,31,32,34,34,32,33,38,28,29,34,34,32,32,32,33,35,35,35,35,30,30,31,30,31,29,30,30,30,29,30,32,29,28,29
394698,121,"Huntsville, AL",Msa,AL,23,27,22,34,35,37,33,33,35,33,32,35,37,34,34,34,37,35,35,35,37,34,34,33,35,33,35,39,38,38,37,38,40,37,38,34,,,35,35,33,35,35,34,35,35,33,34,35,32,31,31
394612,122,"Fort Wayne, IN",Msa,IN,35,30,34,33,35,35,35,34,33,31,34,29,35,31,40,33,33,34,34,40,33,36,37,33,36,32,30,33,30,19,34,37,30,35,32,32,14,29,31,32,31,32,31,31,31,32,31,31,31,29,28,30
395050,123,"Salinas, CA",Msa,CA,37,30,32,31,31,34,32,33,32,34,29,31,32,31,30,32,32,34,34,33,35,33,33,36,37,30,29,39,35,32,33,33,37,35,35,35,36,31,35,35,32,33,33,32,31,32,32,30,34,29,27,29
395183,124,"Vallejo, CA",Msa,CA,34,31,28,30,29,32,30,29,29,29,29,29,31,29,29,29,30,30,29,30,32,33,31,31,32,29,28,31,32,31,31,32,33,34,31,33,33,30,27,23,28,30,29,28,29,29,29,29,29,27,25,23
394870,125,"Mobile, AL",Msa,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,33,36,34,16,31,35,38,39,35,36,38,41,38,36,36,38,38,36,34
395015,126,"Reading, PA",Msa,PA,44,43,38,43,44,47,43,46,44,40,44,39,42,41,41,41,40,43,43,41,39,41,45,41,44,41,36,43,54,40,42,46,44,31,44,45,49,43,43,43,43,44,45,45,46,45,43,45,46,44,41,37
394746,128,"Killeen, TX",Msa,TX,35,35,33,35,37,37,35,35,34,32,32,32,33,32,32,33,35,36,35,34,33,34,33,33,36,30,31,36,34,37,37,37,36,36,36,36,35,34,39,35,35,36,36,34,36,35,34,35,35,32,30,31
394439,129,"Canton, OH",Msa,OH,30,27,27,28,30,31,29,31,31,30,28,27,29,27,26,28,31,30,29,28,30,29,28,29,31,25,27,35,37,35,35,37,32,37,37,38,30,32,37,37,37,37,36,36,36,36,37,36,37,34,32,32
394372,130,"Beaumont, TX",Msa,TX,44,36,34,40,40,42,37,36,37,40,38,37,37,35,35,36,33,35,37,40,39,38,38,36,36,23,30,36,34,36,40,39,46,43,41,40,47,37,42,40,40,42,40,39,41,38,41,39,39,34,36,31
395048,132,"Salem, OR",Msa,OR,38,33,33,34,34,34,34,32,32,32,35,32,32,30,30,32,31,32,28,35,36,36,33,36,39,31,29,35,34,36,37,39,38,39,38,37,24,25,35,36,35,36,37,36,36,35,35,36,37,34,31,32
394972,135,"Peoria, IL",Msa,IL,34,28,32,34,33,35,34,32,32,32,31,32,30,32,32,28,33,35,33,34,35,33,34,33,34,22,28,37,38,38,38,38,40,38,37,36,38,37,37,37,39,40,39,37,38,36,37,34,38,33,35,32
394898,136,"Myrtle Beach, SC",Msa,SC,41,35,34,36,36,39,38,37,41,43,35,35,40,33,35,35,36,37,37,36,40,37,35,35,40,28,28,30,34,37,39,42,44,43,44,43,46,41,43,42,42,43,43,41,41,41,42,41,45,40,39,37
394875,137,"Montgomery, AL",Msa,AL,33,29,31,32,31,33,34,30,30,31,32,34,31,16,27,32,34,36,35,33,34,31,34,34,35,29,28,35,32,35,37,36,39,39,38,38,41,33,36,36,36,38,37,37,35,36,36,35,35,32,31,33
395051,138,"Salisbury, MD",Msa,DE,42,37,37,40,43,29,36,41,44,41,40,42,43,38,35,39,41,40,38,42,41,43,42,44,47,35,34,44,44,41,41,45,44,31,44,48,50,47,44,45,43,44,43,44,45,45,44,43,48,41,37,37
394658,139,"Gulfport, MS",Msa,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,37,37,48,25,35,44,46,26,30,28,35,34,36,38,31,24,14,32,38,38,35,36,36
395146,140,"Tallahassee, FL",Msa,FL,39,37,34,37,40,42,39,36,37,40,38,35,37,36,34,37,36,37,36,35,36,37,37,35,36,30,32,38,37,38,38,39,39,40,40,40,42,35,38,39,38,38,38,37,37,38,37,38,40,35,34,33
395164,141,"Trenton, NJ",Msa,NJ,46,49,41,47,49,49,46,48,47,49,49,49,50,40,43,44,48,51,50,49,47,46,45,44,50,44,38,46,58,49,47,48,50,48,51,54,51,50,50,49,49,53,53,52,49,51,47,49,57,48,44,47
394589,142,"Fayetteville, NC",Msa,NC,39,35,34,35,36,38,37,36,39,39,33,34,35,34,33,35,37,38,37,35,37,35,37,37,37,32,31,38,38,40,39,38,40,39,38,39,41,36,36,37,37,40,42,39,41,40,40,40,42,37,34,35
394679,143,"Hickory, NC",Msa,NC,40,19,31,35,37,38,37,36,36,37,37,36,39,35,34,35,38,38,39,38,39,38,38,40,41,31,35,41,37,40,40,41,43,41,40,41,44,36,38,40,38,38,38,39,38,36,37,37,40,33,33,36
