0,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
394404,10,"Boston, MA",Msa,MA,480928,483527,487081,489802,492374,494381,495924,497244,498035,499505,500443,501814,503166,504202,503863,502932,502078,502373,502551,503467,505106,506703,508147,509834,512729,514859,517514,518977,520223,520155,522342,527968,535236,543311,550857,558629,565023,571961,578082,585038,593359,604451,615402,624189,630010,635329,640278,645427,651366,659208,668464,679106
395057,11,"San Francisco, CA",Msa,CA,1104006,1115452,1129030,1144472,1159807,1171672,1179744,1188839,1193061,1194394,1189688,1179054,1170020,1165648,1164332,1163995,1163203,1162420,1161975,1159615,1159754,1158004,1158188,1161639,1171113,1179289,1191435,1192642,1182682,1172164,1174629,1192759,1207431,1220406,1230782,1238609,1244789,1255908,1273051,1296352,1327787,1364356,1401296,1424265,1437537,1442051,1452779,1465098,1484621,1509911,1541150,1568581
394532,12,"Detroit, MI",Msa,MI,158854,160518,162339,164050,165441,166570,167267,167775,168535,169248,170172,171152,172221,173267,173909,174538,175430,176277,176833,176876,177031,177173,177521,177907,178908,180120,182120,183705,184058,183174,182969,184541,187256,190277,193300,196304,198672,201162,203402,205610,208447,212144,215933,219221,221437,223594,224654,226327,228696,231485,234355,237206
395025,13,"Riverside, CA",Msa,CA,357720,361311,364525,367377,370100,372335,374103,375137,376365,377147,377964,378288,379922,381092,382849,383838,384615,384990,385281,385861,386048,387644,388481,390813,391432,393037,394532,396961,398354,399315,401670,406395,412253,418032,424128,430668,436969,443596,450982,460574,472467,485851,501180,515209,527104,534227,538766,543769,553598,565107,577883,586922
394976,14,"Phoenix, AZ",Msa,AZ,254185,256524,258886,260740,262302,263660,265145,266653,268564,269797,270884,271888,273272,274563,275934,276792,277586,278377,279514,281405,283037,284699,286301,288357,290414,292503,295574,299759,302514,304282,306318,310840,316202,321596,327040,333301,340685,347155,355985,362924,375057,386712,400061,410547,418909,426759,433048,439208,445027,453798,463136,474760
395078,15,"Seattle, WA",Msa,WA,507514,515951,523774,529145,532095,532731,531753,531296,532778,534419,535880,536037,537117,536607,536171,534159,533185,531815,531766,532758,534054,535653,539324,545372,552791,559034,565367,569975,570124,569662,571604,580144,590114,601568,611577,619193,626941,635045,644940,656113,669100,687956,704795,719259,728342,736713,748564,761033,775761,789642,808555,828131
394865,16,"Minneapolis-St Paul, MN",Msa,MN,274571,277174,279407,281291,282543,283309,283912,284988,286239,287616,288820,290372,291974,293377,293842,294254,294645,295366,295791,296072,296868,297989,299399,301064,302487,303969,305185,306537,307353,307890,308750,311001,314130,318144,322030,325589,329184,332201,335583,338036,342117,346981,352966,357188,360094,361948,364235,367331,370328,373886,377399,381467
395056,17,"San Diego, CA",Msa,CA,603380,610014,614204,613914,613179,614203,616190,619301,620442,622852,623790,623378,619469,617071,616766,619984,621821,623905,626458,628662,629345,630001,632130,634762,637922,641480,647673,651913,655080,655428,659436,666815,677887,689903,703116,714667,724973,734017,745126,760327,783104,809181,835005,850858,861572,866764,874909,886989,908895,930722,955756,976534
395121,18,"St. Louis, MO",Msa,MO,172803,173386,174156,174754,175376,175688,176237,176888,177484,178268,179030,180052,181184,182452,183362,183698,183850,183937,184076,184155,184404,184808,185270,186141,186937,187892,188311,188905,189055,189782,190999,192984,195182,197364,199597,201690,203800,205684,208089,210723,214209,218010,221695,224125,225474,226460,228150,230450,233342,236722,240423,243300
395148,19,"Tampa, FL",Msa,FL,211959,213648,215720,217623,218809,219783,220613,221750,223073,224472,225907,227560,229240,230047,230420,230774,231392,231712,232294,232753,233245,233758,234810,235906,237225,238627,240475,242202,243384,244578,245959,248679,251564,254891,258843,263105,267897,272281,276869,281417,286901,295162,304845,314333,322348,329049,336065,341951,350095,357994,368627,380014
394358,20,"Baltimore, MD",Msa,MD,294903,295968,297220,298240,298990,299327,299967,300543,301105,301208,301717,301929,302589,303174,303717,304062,304254,304277,304465,304298,304075,303686,303850,304479,305407,305885,306746,307242,307872,308543,310349,313119,316320,319926,323551,327463,330342,333800,337257,341342,344931,349159,353484,357101,359404,361087,363555,365946,369047,372427,376515,380367
394530,21,"Denver, CO",Msa,CO,428028,430866,433156,435997,438768,441209,443249,445219,447502,449706,452304,453666,454776,456031,457221,458157,457670,457505,457135,457489,457933,458728,459681,461609,464562,466840,468794,470361,471874,472943,474468,477828,482506,488111,494156,500518,507215,514507,522734,532071,544455,558501,572943,583424,591023,597656,605718,615504,626055,638032,651787,664633
394982,22,"Pittsburgh, PA",Msa,PA,149136,149491,150684,151875,153084,153559,153996,154520,155005,155555,156061,156618,157316,158264,158883,159154,159762,160481,161121,161348,161469,161977,162783,163742,164263,164660,165470,166294,166256,166265,167121,169311,171920,174537,177025,179156,181737,183189,184881,186743,191188,195471,198922,200670,201578,202435,203031,204490,206423,209355,211611,213540
394998,23,"Portland, OR",Msa,OR,406236,409484,412643,414345,415128,415813,417188,417972,418264,418785,420284,422406,424727,426050,426155,425872,425210,424506,423473,423174,423553,425479,427612,429662,431976,433843,436537,437587,438769,439944,441831,445350,450621,457187,464380,469882,474835,480006,487448,496112,505524,515721,526452,535320,541848,546387,551258,556379,563310,572053,582427,593064
394458,24,"Charlotte, NC",Msa,NC,217645,219332,220706,221904,223196,224703,226495,228090,229711,230754,232245,233634,235431,236372,237104,237693,238492,239269,239926,240749,241825,243521,245309,247049,248186,249682,250720,252098,253398,255175,257181,259524,262249,265312,267994,271088,274974,279187,283641,288235,294001,301381,309467,317545,325024,331609,338389,344733,351855,359566,368176,377721
395045,25,"Sacramento, CA",Msa,CA,406165,409887,412724,415431,417067,418413,419208,419482,419435,419712,420654,422268,423773,424331,424578,426200,428348,429779,429885,429768,430762,431855,434344,436966,439792,442648,445888,448637,448342,446866,448309,452947,460359,468479,476386,483846,489297,496674,503418,512876,523168,536593,552393,566588,577666,581578,584599,588329,596431,605668,615740,624951
395055,26,"San Antonio, TX",Msa,TX,218192,218495,219640,220872,222127,223076,224094,225026,225456,226221,226750,228247,229416,231057,231805,232676,233229,233886,234545,235225,236394,237118,237889,237766,238228,238275,239065,239190,239488,239724,240834,242421,244759,247405,249850,251979,254139,257003,259982,263939,268798,275370,281620,288087,292743,297476,301902,307329,312993,318263,324686,331245
