DaysOnMarket,POPESTIMATE2020,RegionName,HomeValue
79.07142857142857,141229,"Syracuse, NY",166876.7142857143
46.892857142857146,248112,"Winston-Salem, NC",189049.07142857142
43.0,391731,"Wichita, KS",163830.9642857143
56.607142857142854,152646,"Springfield, MA",276039.21428571426
57.92857142857143,91086,"Fort Myers, FL",303505.03571428574
37.32142857142857,229776,"Boise City, ID",420331.5714285714
50.75,271455,"Toledo, OH",142798.57142857142
53.964285714285715,263094,"Madison, WI",333786.35714285716
50.107142857142854,115283,"Lakeland, FL",232081.42857142858
32.67857142857143,87387,"Ogden, UT",417042.21428571426
54.714285714285715,70143,"Daytona Beach, FL",260972.9642857143
58.67857142857143,212312,"Des Moines, IA",235575.5357142857
49.214285714285715,157821,"Jackson, MS",156358.35714285713
58.285714285714285,63828,"Youngstown, OH",116592.07142857143
64.85714285714286,76532,"Scranton, PA",140525.17857142858
48.642857142857146,49322,"Harrisburg, PA",218834.0357142857
49.25,83376,"Melbourne, FL",272900.6785714286
44.07142857142857,222050,"Spokane, WA",352740.8214285714
35.07142857142857,116295,"Provo, UT",471741.8214285714
48.035714285714285,58990,"Lancaster, PA",270324.71428571426
40.5,215666,"Modesto, CA",390062.1785714286
50.214285714285715,66803,"Portland, ME",392195.21428571426
42.642857142857146,285897,"Durham, NC",325079.0714285714
42.285714285714285,174613,"Santa Rosa, CA",743536.0
23.107142857142858,126535,"Lafayette, LA",172117.7857142857
54.035714285714285,117540,"Lansing, MI",186287.75
44.285714285714285,89576,"Fayetteville, AR",236308.9642857143
68.75,53142,"Pensacola, FL",221586.32142857142
45.964285714285715,135007,"Visalia, CA",272790.21428571426
45.035714285714285,168090,"Springfield, MO",188141.60714285713
51.464285714285715,43907,"York, PA",224979.7857142857
57.17857142857143,327248,"Corpus Christi, TX",186557.82142857142
48.07142857142857,94968,"Flint, MI",144837.32142857142
42.892857142857146,259290,"Reno, NV",473178.46428571426
54.75,92852,"Asheville, NC",325037.8214285714
43.42857142857143,202964,"Huntsville, AL",238241.25
37.17857142857143,272398,"Fort Wayne, IN",176092.42857142858
49.214285714285715,154868,"Salinas, CA",708524.1428571428
39.75,120747,"Vallejo, CA",529208.0714285715
53.214285714285715,88217,"Reading, PA",221446.4642857143
33.964285714285715,183428,"Brownsville, TX",127463.57142857143
42.57142857142857,153991,"Killeen, TX",191390.5
48.357142857142854,69963,"Canton, OH",156249.67857142858
62.857142857142854,115473,"Beaumont, TX",143420.82142857142
7.285714285714286,112546,"Manchester, NH",384704.03571428574
46.75,175891,"Salem, OR",368868.14285714284
63.785714285714285,109428,"Peoria, IL",123545.78571428571
61.285714285714285,35555,"Myrtle Beach, SC",273420.0
57.964285714285715,196268,"Montgomery, AL",153640.7857142857
65.5,33017,"Salisbury, MD",299352.10714285716
52.75,71438,"Gulfport, MS",160356.2142857143
51.57142857142857,196326,"Tallahassee, FL",212655.60714285713
70.85714285714286,82957,"Trenton, NJ",301128.21428571426
45.07142857142857,211705,"Fayetteville, NC",155465.75
41.5,173236,"Eugene, OR",378306.39285714284
49.714285714285715,144835,"Rockford, IL",139989.67857142858
48.785714285714285,143632,"Savannah, GA",226820.2857142857
51.642857142857146,119280,"Ann Arbor, MI",334544.96428571426
54.107142857142854,61669,"Ocala, FL",195353.42857142858
47.964285714285715,76009,"Kalamazoo, MI",201897.7142857143
69.64285714285714,21988,"Naples, FL",488104.5714285714
43.0,101868,"South Bend, IN",160255.35714285713
54.357142857142854,37317,"Spartanburg, SC",186473.7857142857
42.57142857142857,118407,"Evansville, IN",163565.5
52.75,54112,"Kingsport, TN",151365.39285714287
58.642857142857146,103836,"Green Bay, WI",213290.7857142857
44.107142857142854,290505,"Lincoln, NE",237368.85714285713
43.107142857142854,168234,"Fort Collins, CO",485544.5714285714
