,RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020_x,2/29/2020_x,3/31/2020_x,4/30/2020_x,5/31/2020_x,6/30/2020_x,7/31/2020_x,8/31/2020_x,9/30/2020_x,10/31/2020_x,11/30/2020_x,12/31/2020_x,1/31/2021_x,2/28/2021_x,3/31/2021_x,4/30/2021_x,5/31/2021_x,6/30/2021_x,7/31/2021_x,8/31/2021_x,9/30/2021_x,10/31/2021_x,11/30/2021_x,12/31/2021_x,1/31/2022_x,2/28/2022_x,3/31/2022_x,4/30/2022_x,2020-NowAvg,1/31/2020_y,2/29/2020_y,3/31/2020_y,4/30/2020_y,5/31/2020_y,6/30/2020_y,7/31/2020_y,8/31/2020_y,9/30/2020_y,10/31/2020_y,11/30/2020_y,12/31/2020_y,1/31/2021_y,2/28/2021_y,3/31/2021_y,4/30/2021_y,5/31/2021_y,6/30/2021_y,7/31/2021_y,8/31/2021_y,9/30/2021_y,10/31/2021_y,11/30/2021_y,12/31/2021_y,1/31/2022_y,2/28/2022_y,3/31/2022_y,4/30/2022_y,2020-NowAvgDays,POPESTIMATE2020
45,394943,27,"Orlando, FL",Msa,FL,268518.0,269791.0,271383.0,273280.0,275163.0,276167.0,276821.0,277884.0,279382.0,281539.0,284236.0,286880.0,289673.0,291613.0,294274.0,297253.0,301813.0,308293.0,316440.0,324591.0,332386.0,339314.0,347449.0,354655.0,362218.0,370057.0,380148.0,391625,307958.78571428574,67.0,50.0,45.0,57.0,57.0,56.0,51.0,51.0,52.0,51.0,53.0,55.0,54.0,46.0,44.0,43.0,42.0,43.0,42.0,43.0,44.0,44.0,43.0,45.0,44.0,39.0,38.0,37.0,47.714285714285715,289457
47,394466,28,"Cincinnati, OH",Msa,OH,194300.0,195139.0,196342.0,197557.0,199224.0,200790.0,202228.0,204022.0,206005.0,208723.0,211826.0,214758.0,217582.0,220613.0,223777.0,226934.0,229450.0,232371.0,236106.0,239734.0,243049.0,245192.0,247222.0,249445.0,252063.0,255233.0,258638.0,262478,223957.17857142858,52.0,42.0,39.0,45.0,44.0,44.0,44.0,44.0,46.0,45.0,45.0,46.0,46.0,41.0,40.0,40.0,41.0,42.0,42.0,42.0,44.0,43.0,44.0,44.0,43.0,37.0,35.0,34.0,42.642857142857146,304548
51,394475,29,"Cleveland, OH",Msa,OH,163007.0,164124.0,164995.0,165939.0,166705.0,167598.0,168705.0,170860.0,173324.0,175811.0,177833.0,179575.0,181419.0,183351.0,185802.0,188234.0,191909.0,195940.0,199766.0,202187.0,204069.0,205405.0,206845.0,208361.0,210149.0,212599.0,214965.0,218311,187421.0,77.0,53.0,47.0,26.0,52.0,47.0,50.0,50.0,51.0,51.0,57.0,69.0,54.0,38.0,44.0,43.0,43.0,45.0,44.0,47.0,47.0,47.0,48.0,52.0,50.0,42.0,38.0,38.0,48.214285714285715,378589
55,394775,31,"Las Vegas, NV",Msa,NV,304444.0,305658.0,308117.0,310798.0,311119.0,309329.0,308435.0,310786.0,315352.0,319097.0,322549.0,326123.0,329826.0,333328.0,337284.0,341994.0,350884.0,362459.0,374673.0,384123.0,392014.0,399252.0,406888.0,413645.0,423773.0,434320.0,446461.0,455392,354932.96428571426,65.0,48.0,40.0,53.0,53.0,57.0,52.0,48.0,50.0,52.0,53.0,56.0,50.0,37.0,38.0,37.0,37.0,38.0,37.0,38.0,39.0,39.0,40.0,41.0,38.0,35.0,34.0,34.0,44.25,662368
57,394492,32,"Columbus, OH",Msa,OH,225453.0,227320.0,228737.0,229985.0,231164.0,232368.0,233546.0,235292.0,237473.0,240045.0,243279.0,246767.0,250323.0,253300.0,256435.0,259553.0,263469.0,267645.0,271934.0,275349.0,278361.0,281389.0,284680.0,288103.0,291636.0,295730.0,299940.0,304597,258352.60714285713,53.0,38.0,36.0,41.0,40.0,41.0,39.0,40.0,40.0,41.0,40.0,41.0,40.0,36.0,35.0,35.0,34.0,34.0,35.0,36.0,36.0,38.0,38.0,38.0,39.0,35.0,33.0,32.0,38.0,903852
60,395059,34,"San Jose, CA",Msa,CA,1303711.0,1320337.0,1342220.0,1347801.0,1329329.0,1311858.0,1307390.0,1335212.0,1357702.0,1377673.0,1392544.0,1405399.0,1415450.0,1418206.0,1422444.0,1440265.0,1483068.0,1535518.0,1577232.0,1601131.0,1609021.0,1619756.0,1636480.0,1659836.0,1691379.0,1733911.0,1777213.0,1816893,1484606.392857143,43.0,35.0,36.0,47.0,45.0,45.0,41.0,42.0,42.0,42.0,43.0,48.0,38.0,38.0,40.0,39.0,39.0,38.0,38.0,40.0,38.0,39.0,40.0,21.0,8.0,37.0,36.0,37.0,38.392857142857146,1013616
62,394355,35,"Austin, TX",Msa,TX,340088.0,341903.0,344267.0,346932.0,349594.0,351218.0,353314.0,356761.0,362248.0,368056.0,374896.0,380942.0,386752.0,397540.0,413593.0,435968.0,458308.0,482362.0,502676.0,518619.0,526936.0,534126.0,541712.0,553524.0,566616.0,580638.0,592498.0,602040,441575.96428571426,66.0,43.0,37.0,47.0,47.0,46.0,44.0,43.0,44.0,40.0,40.0,41.0,38.0,36.0,38.0,37.0,36.0,39.0,39.0,40.0,46.0,45.0,44.0,53.0,56.0,39.0,33.0,35.0,42.57142857142857,995484
63,395005,38,"Providence, RI",Msa,RI,329474.0,330746.0,332533.0,334416.0,335931.0,336754.0,338468.0,341801.0,346920.0,352294.0,357291.0,362702.0,368425.0,373623.0,378942.0,384224.0,390313.0,397531.0,405351.0,413335.0,418856.0,423536.0,427508.0,431962.0,436230.0,440375.0,444350.0,448834,381525.89285714284,91.0,63.0,60.0,68.0,65.0,63.0,63.0,58.0,60.0,65.0,64.0,74.0,68.0,47.0,52.0,52.0,58.0,44.0,52.0,55.0,55.0,56.0,55.0,58.0,60.0,50.0,47.0,46.0,58.892857142857146,179270
67,394862,39,"Milwaukee, WI",Msa,WI,209174.0,211134.0,212813.0,214484.0,215824.0,216799.0,218224.0,220331.0,222731.0,225351.0,228325.0,231701.0,235092.0,238567.0,242127.0,245263.0,248283.0,252337.0,256673.0,259551.0,260878.0,261040.0,261842.0,262453.0,264269.0,267064.0,271068.0,275385,240313.67857142858,74.0,58.0,56.0,56.0,59.0,64.0,54.0,50.0,53.0,52.0,54.0,55.0,59.0,45.0,45.0,50.0,41.0,38.0,48.0,53.0,53.0,52.0,51.0,59.0,57.0,45.0,43.0,36.0,52.142857142857146,589067
71,394714,40,"Jacksonville, FL",Msa,FL,237878.0,239655.0,241772.0,243175.0,243992.0,244211.0,244633.0,246080.0,248209.0,251008.0,253776.0,256535.0,260241.0,264372.0,268592.0,272625.0,277639.0,284257.0,291796.0,299259.0,306788.0,313852.0,320947.0,327769.0,335421.0,343206.0,352166.0,361163,279679.1785714286,86.0,61.0,59.0,68.0,72.0,72.0,67.0,66.0,63.0,57.0,60.0,59.0,54.0,44.0,43.0,44.0,43.0,42.0,44.0,44.0,46.0,46.0,47.0,48.0,48.0,41.0,38.0,37.0,53.535714285714285,920570
