,RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
283,395066,283,"Santa Fe, NM",Msa,NM,391826.0,391857.0,392783.0,393491.0,394145.0,394753.0,396067.0,398922.0,401742.0,406050.0,409827.0,415094.0,420482.0,427514.0,434449.0,440699.0,446069.0,450963.0,459154.0,468509.0,476880.0,483732.0,490062.0,496216.0,502380.0,511674.0,522715.0,533816
284,394727,284,"Johnstown, PA",Msa,PA,79133.0,77641.0,78043.0,78241.0,78498.0,80637.0,82780.0,84604.0,84525.0,84877.0,86107.0,86617.0,87160.0,87166.0,88186.0,89074.0,89874.0,90844.0,91497.0,92572.0,93592.0,94650.0,95851.0,98185.0,100360.0,101777.0,101830.0,101848
285,395163,285,"Traverse City, MI",Msa,MI,248151.0,250295.0,251492.0,252533.0,253661.0,254445.0,255105.0,256378.0,258958.0,262184.0,265977.0,269945.0,274649.0,278753.0,283271.0,287876.0,294298.0,301618.0,308659.0,315012.0,320532.0,325107.0,329217.0,333986.0,340343.0,345781.0,350772.0,354029
286,394671,286,"Hattiesburg, MS",Msa,MS,147611.0,147674.0,147805.0,147498.0,147447.0,147384.0,147837.0,147802.0,147838.0,148110.0,149035.0,149926.0,151541.0,153292.0,155267.0,156438.0,157384.0,158168.0,159197.0,160165.0,161198.0,161919.0,162537.0,165708.0,168896.0,172978.0,174366.0,175949
287,394515,287,"Dalton, GA",Msa,GA,144762.0,145224.0,145903.0,146630.0,147147.0,147541.0,147989.0,149181.0,150456.0,153195.0,153088.0,153949.0,153882.0,156822.0,160498.0,164144.0,167779.0,170601.0,173416.0,176291.0,178981.0,182016.0,184814.0,185705.0,186395.0,187019.0,192541.0,198368
288,394860,288,"Midland, TX",Msa,TX,273327.0,273101.0,272583.0,271938.0,270425.0,268332.0,266184.0,265363.0,264437.0,264587.0,264937.0,266344.0,266993.0,265692.0,264797.0,263467.0,264736.0,266059.0,268210.0,270099.0,272846.0,275309.0,278019.0,279533.0,280993.0,283183.0,284912.0,287499
289,394685,289,"Homosassa Springs, FL",Msa,FL,170211.0,171216.0,172666.0,173961.0,175581.0,176964.0,179394.0,181065.0,183394.0,184610.0,187080.0,189816.0,193340.0,196735.0,200539.0,204829.0,209731.0,215247.0,220386.0,226461.0,232021.0,238237.0,243575.0,249157.0,254939.0,259972.0,265213.0,270699
290,394351,290,"Auburn, AL",Msa,AL,207419.0,207742.0,208807.0,209879.0,210831.0,211343.0,212046.0,213314.0,215138.0,217493.0,219859.0,221828.0,224487.0,227022.0,229617.0,231398.0,232691.0,234516.0,236133.0,238825.0,241203.0,,236022.0,236823.0,,253891.0,258983.0,260909
291,395182,291,"Valdosta, GA",Msa,GA,129121.0,129883.0,130330.0,130595.0,130971.0,131457.0,132347.0,132711.0,133786.0,135026.0,136783.0,138405.0,140224.0,141960.0,143589.0,145234.0,146937.0,148873.0,150968.0,153263.0,155583.0,157799.0,159853.0,162621.0,165192.0,167665.0,169804.0,172208
292,394480,292,"Coeur d'Alene, ID",Msa,ID,363103.0,369887.0,373639.0,377563.0,377178.0,377885.0,377047.0,382855.0,393857.0,407331.0,416997.0,423930.0,432571.0,443192.0,457209.0,467008.0,480851.0,492905.0,515910.0,535243.0,553464.0,564565.0,572601.0,581667.0,588088.0,591782.0,593869.0,598413
293,395117,293,"Springfield, OH",Msa,OH,121337.0,122008.0,121838.0,121221.0,121134.0,122106.0,123724.0,125563.0,127189.0,129025.0,131112.0,133094.0,135580.0,137515.0,141628.0,145048.0,148726.0,150432.0,152231.0,152747.0,153362.0,153499.0,155104.0,155360.0,156103.0,156568.0,157665.0,159477
294,395119,294,"St. George, UT",Msa,UT,348019.0,350185.0,352139.0,353523.0,355578.0,357520.0,361103.0,364587.0,368382.0,371980.0,376939.0,382724.0,389166.0,397266.0,407329.0,419529.0,433087.0,449189.0,467600.0,486247.0,501581.0,514398.0,525226.0,536668.0,546553.0,553443.0,557725.0,562940
