RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
394696,735,"Huntington, IN",Msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,3,7,4,4,3,5,5,5,6,6,6,9,8,3,3
394840,736,"Mayfield, KY",Msa,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
394438,737,"Canton, IL",Msa,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11
394341,740,"Astoria, OR",Msa,OR,48,58,31,29,26,35,41,49,74,34,41,45,51,78,20,26,24,21,29,49,58,53,84,48,82,28,25,22,43,25,18,11,24,36,18,10,15,9,8,7,6,8,9,10,10,9,12,9,11,11,6,6
394973,741,"Peru, IN",Msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,11,6
394506,742,"Coshocton, OH",Msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,58,40,63,41,50,37,42,45,44,50,55,28,19,5,11,9,10,11,38,28,38,25,45,21,7,6
394916,743,"Newton, IA",Msa,IA,57,37,16,33,23,18,18,28,29,66,41,61,79,69,49,19,19,20,23,17,27,40,53,43,63,41,29,21,18,19,12,12,10,18,15,52,38,18,12,5,4,4,8,11,11,10,14,20,30,12,6,10
394370,745,"Bay City, TX",Msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,79,83,113,66,37,55,71,58,49,27,38,35,64,34,17,69,19,69,32,25,40,16,34,25
394617,746,"Fremont, NE",Msa,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,9,5,5,5,8,13,10,7,7,11,18,7,9,6,6
394702,747,"Hutchinson, MN",Msa,MN,,,,,,,,,,,,,,89,29,18,22,17,24,22,24,41,32,86,48,46,23,20,22,22,21,25,17,20,20,15,11,12,9,12,7,10,16,10,14,12,16,16,32,9,8,7
394948,749,"Owatonna, MN",Msa,MN,,,,,,,,,,,,,,,39,20,27,25,20,27,23,34,28,35,55,34,18,17,11,13,15,13,18,16,23,28,10,13,9,6,5,8,11,11,11,20,18,17,33,4,6,5
753922,751,"Summit Park, UT",Msa,UT,44,70,76,34,38,26,28,65,55,86,41,80,91,92,86,61,34,28,48,55,63,55,88,32,45,46,75,24,36,20,28,40,35,29,37,20,38,27,11,10,7,11,14,20,20,15,11,20,10,9,8,8
753864,752,"Arkansas City-Winfield, KS",Msa,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,15,16,8,5,13,12,28,13,9,44,16,28,19,8,8
394771,753,"Laramie, WY",Msa,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
394385,755,"Big Spring, TX",Msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,58,32,24,23,38,54,31,62,75,41,24,66,78,34,39
394535,757,"Dixon, IL",Msa,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,39,11,11,8,14,22,19,41,21,29,42,9,13,8
394315,758,"Alexandria, MN",Msa,MN,81,26,21,36,26,32,35,44,42,47,67,92,77,44,21,26,23,25,34,42,39,49,55,46,58,52,48,23,23,25,29,33,26,53,30,48,20,13,9,14,11,10,13,10,14,32,17,32,21,12,5,6
394915,759,"Newport, TN",Msa,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,8
394522,760,"DeRidder, LA",Msa,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,24,12,18,4,12,6,9,8,7,23,19,8,8,7,5
394781,761,"Lebanon, MO",Msa,MO,65,103,45,62,45,38,22,59,36,49,72,61,56,95,22,13,12,20,24,24,21,48,44,71,67,42,24,49,36,45,25,48,52,38,50,45,30,15,13,7,16,7,13,21,13,30,6,19,18,22,6,7
394481,762,"Coffeyville, KS",Msa,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,55,70,43,41,42,39,34,49,60,57,52,15,10,12,25,17,29,16,15,28,28,26,19,12
395084,763,"Seneca Falls, NY",Msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11
395137,764,"Sulphur Springs, TX",Msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,11,7
395141,766,"Susanville, CA",Msa,CA,,,,,,,,,,,,,,,,,,,,,,,,,110,85,33,37,65,50,25,33,33,44,45,38,45,48,11,10,22,39,32,35,50,51,42,42,54,87,19,15
394335,768,"Arcadia, FL",Msa,FL,,,,,,,,,,,,,,,,,,,,,,52,43,32,42,13,21,41,17,34,38,13,28,13,14,23,30,16,18,10,9,9,14,19,10,10,12,11,17,23,13,8
395150,769,"Taylorville, IL",Msa,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,13,28
394525,770,"Decatur, IN",Msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3
394557,772,"Effingham, IL",Msa,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9
394430,774,"Butte, MT",Msa,MT,,72,49,21,13,16,37,19,28,35,49,25,65,84,26,13,20,19,29,25,33,42,73,52,84,67,11,23,19,25,9,16,13,8,15,16,76,14,8,7,6,7,7,6,15,23,18,13,8,6,6,6
394331,775,"Angola, IN",Msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,37,24,20,31,29,41,36,44,20,5,4,3,7,6,8,12,15,13,30,53,18,7,4
394536,778,"Dodge City, KS",Msa,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
394413,779,"Brenham, TX",Msa,TX,,,,,,,,,,,,,,,,,,,,,,,,87,79,25,45,51,53,42,49,29,43,49,26,33,81,32,27,27,13,11,12,20,19,25,19,16,34,25,14,9
394569,780,"Emporia, KS",Msa,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,14
753892,782,"Jackson, OH",Msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
394613,783,"Frankfort, IN",Msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,6,4,4,3,4,4,7,13,7,9,21,16,5,4,6
394414,784,"Brevard, NC",Msa,NC,55,109,60,48,26,43,47,35,97,57,76,83,109,28,31,60,21,44,55,70,98,87,89,47,154,138,52,13,42,74,43,21,16,17,25,50,54,29,11,7,7,7,12,14,15,6,13,34,39,7,8,6
395196,788,"Wabash, IN",Msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,45,12,31,7,6,16,19,17,34,22,21,57,14,6,6
394433,789,"Cambridge, MD",Msa,MD,,,,,,,,,,,,,,21,75,35,52,103,88,107,91,53,83,35,66,69,97,43,72,85,50,36,39,35,42,37,49,36,18,25,13,17,17,19,25,20,26,33,52,13,18,24
394812,790,"Macomb, IL",Msa,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,12
395187,791,"Vernal, UT",Msa,UT,80,69,79,36,51,35,55,57,53,47,50,63,62,83,89,45,27,43,66,53,56,98,53,79,90,83,60,39,41,43,59,51,49,47,24,54,55,28,22,15,8,11,12,18,14,14,51,31,20,7,6,6
394749,792,"Kingsville, TX",Msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,19,46,12,22,13,13,11,16,18,12,39,35,20,14,14
394815,793,"Madison, IN",Msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,17,11,8
394886,794,"Mount Pleasant, TX",Msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,18
394962,795,"Paris, TN",Msa,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,26,7
394419,797,"Brookings, SD",Msa,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6
753878,802,"Dayton, TN",Msa,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,13,15,9,3,10,8,4,9,15,9,14,34,8,5,8
